name,_delete,nameZh,nameJa,aliases,avatar,birth,bloodType,height,weight,threeSize,cup,retired,retiredAt,debut,agency,x,instagram,tiktok,works
川島和津実,,川島和津實,川島和津実,,,1979-08-08,A,156,,86 - 59 - 85,D-65,TRUE,1999,1998-12-18,,,,,
川崎杏奈,,,川崎杏奈,,,1977-10-12,A,,,83 - 58 - 84,,FALSE,,1996,,,,,
川村朋美,,,川村朋美,,,1980-12-11,B,157,,80 - 56 - 83,,TRUE,,,,,,,
川村藍子,,,川村藍子,,https://www.minnano-av.com/p_actress_125_125/017/937102.jpg?new,1980-06-19,O,160,,82 - 58 - 85,,FALSE,,2000,,,,,
工藤まなみ,,,工藤まなみ,,,1987-05-16,A,153,,88 - 68 - 101,F,FALSE,,2017,マドンナ,tsukasa_hibiki_,,,
市川まさみ,,市川雅美,市川まさみ,,,1991-07-10,A,162,,81 - 61 - 91,C,TRUE,2022-04-11,2015-01-08,SOD,ichikawa_masami,ichii710,,
希咲エマ,,,希咲エマ,{{plainlist|,,1989-08-30,A,152,,95 - 56 - 85,H,FALSE,,2009-03-01,,emakisaki,,,
希島あいり,,希岛爱理,希島あいり,希岛爱理、希島愛理,,1988-12-24,O,160,,85 - 58 - 87,C,TRUE,2025-06-30,2013-07-01,プレミアム,airi_kijima,airi_kijima,airi_kijima,
希崎ジェシカ,,希崎潔西卡,希崎ジェシカ,,https://commons.wikimedia.org/wiki/Special:FilePath/CIMG3734kisaki.jpg?width=200,1989-06-10,O,160,45kg,86 - 60 - 87,D-65,TRUE,2019,2008,,kizaki_jessica,kizaki_jessica,,
彩城ゆりな,,彩城優里菜,彩城ゆりな,綾瀬、ゆか,,1993-02-24,A,153,,80 - 58 - 85,C,TRUE,2016,2012-11-22,kawaii*,yurina_n777,y_nyanyan,,
彩月かおる,,,彩月かおる,,,1955.06.09,,160,,94 - 68 - 90,F,TRUE,,2010,,,,,
彩瀬希,,,彩瀬希,,,1993-03-03,,163,,83 - 58 - 82,D,FALSE,,2012,,,,,
